¹	1789	1793	1797	1801	1805	1809	1813	1817	1821	1825	1829	1833	1837	1841	1845	1849	1853	1857	1861	1865	1869	1873	1877	1881	1885	1889	1893	1897	1901	1905	1909	1913	1917	1921	1925	1929	1933	1937	1941	1945	1949	1953	1957	1961	1965	1969	1973	1977	1981	1985	1989	1993	1997	2001	2005	2009	2013	2017	2021
58								42	39	26			49	49	31		38	10	15				61	24		12	45	7	15		32	11	12	82	15	38	52	18	17		10	17	47		17	21	24		9	18	23	10	13	13	14	38	44	33	11
59								30	60	18			15	23	41		47	31	15				106	28		20		11	14		51	31	60	40	64	24	73	42	23		17	28	17		13	39	25		8	12	16	14	21	17	33	49	33	21	14
60								24	13	52			76	15	27		62	37	3					9		22		22	7		28	39		28	93	32	28	22	25		13	25	23		32	30	29		20	25	17	22	20	7	19	17	48	7	15
61								6	29	17			19	57	50		32	47	18					15		57		29	2		35	62		42	29	6	32	44	65		17	23	12		18	9	44		13	5	8	16	43	13	17	33	85	29	18
62								27	29	36			32	65	35		35	22	21					30		32		38	11		27	13		21	15	34	25	47	30		19	17	7		9	10	51		18	19	8	29	18	10	22	16	13	32	13
63								15	11	20			20	73	55		49	12	38					11		34		55	25		47	12		17	16	33	22	24	30		10	22	13		22	23	22		14	8	7	23	7	16	19	57	21	13	11
64								18	19	17			41	26	42		32	48	6					33		35		27	8		21	22		6	34	28	27	25	22		11	16	25		38	17	20		20	19	12	17	21	12	1	23	39	17	15
65								9	47	16			58	52	15		52	46	31					29		9		8	12		54	8		12	21	48	20	19	13		23	21	12		16	16	20		21	16	26	9	18	20	3	19	20	14	10
66								11	54	8			64	62	31		60	29	22					15		26		27	28		33	5		9	24	32	20	26	4		20	23	15		6	21	31		6	26	34	18	12	25	18	32	43	8	7
67								6	54	12			5	25	46		14	28	17					33		19		15	14		43	13		16	22	17	25	9	7		19	24	13		12	30	39		6	18	23	5	24	19	28	7	36	14	10
68								43	26	10			17	23	51		22	51	12					32		30		60	7		15	16		5	17	4	25	11	16		26	48	8		21	11	46		13	19	20	10	11	28	25	23	23	25	3
69								88	24	25			51	161	26		16	42	6					29		11		9	25		58			9	34	29	24	21			15	24	9		18	10	32		22	14	14	9	25	14	34	17	38	9	29
70								106	67	23			29	25	22		23	41	7					15		55		9	46		52			9	18	21	29	30			29	16	14		19	11			24	20	13	8	16	14	26	24	26	16	5
71								63	26	41			25	13	58		6	17	6					20		28		25	20		33			37	16	10	41	31			16	4	20		15	8			14	48	24	15	26	10	11	54	11	21	16
72								33	38	26			23	52	11		14	69	7					21		27		32	9		56			21	18	13	44	21			24	21	23		41	34			46	13	13	9	24	13	41	13	17	7	24
73								35	28	27			108	67	14		25	32	6					30		15		38	19		22			12	34	11	18	4			29	26	13		34	20			7	32	13	9	17	14	29	12	10	6	21
74								23	38	31			46	101	33		27	33	19					11		28		29	59		27			35	16	16	5	38			14	45	9		7	27			9	26	28	13	25	28	21	85	47	12	6
